<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
Индекс ММВБ,W,20150105,000000,1394.66,1564.87,1390.53,1515.37,0,0
Индекс ММВБ,W,20150112,000000,1515.23,1594.06,1499.57,1591.43,0,0
Индекс ММВБ,W,20150119,000000,1590.54,1700.78,1561.8,1671.8,0,0
Индекс ММВБ,W,20150126,000000,1670.23,1706.39,1614.16,1647.69,0,0
Индекс ММВБ,W,20150202,000000,1647.74,1762.39,1616.27,1755.45,0,0
Индекс ММВБ,W,20150209,000000,1755.7,1839.71,1729.77,1838.18,0,0
Индекс ММВБ,W,20150216,000000,1838.21,1848.15,1757.33,1792.7,0,0
Индекс ММВБ,W,20150223,000000,1786.49,1786.49,1727.7,1758.97,0,0
Индекс ММВБ,W,20150302,000000,1759.25,1825.94,1723.09,1728.55,0,0
Индекс ММВБ,W,20150309,000000,1726.86,1726.86,1621.86,1627.88,0,0
Индекс ММВБ,W,20150316,000000,1626.77,1652.73,1599.57,1628.64,0,0
Индекс ММВБ,W,20150323,000000,1629.29,1639.06,1569.61,1571.55,0,0
Индекс ММВБ,W,20150330,000000,1571.77,1692.95,1571.62,1681.47,0,0
Индекс ММВБ,W,20150406,000000,1681.8,1709.88,1635.85,1657.02,0,0
Индекс ММВБ,W,20150413,000000,1657.1,1694.94,1641.8,1656.59,0,0
Индекс ММВБ,W,20150420,000000,1657.63,1712.91,1633.12,1682.7,0,0
Индекс ММВБ,W,20150427,000000,1682.82,1698.65,1666.52,1688.34,0,0
Индекс ММВБ,W,20150504,000000,1689.55,1734.34,1676.21,1708.52,0,0
Индекс ММВБ,W,20150511,000000,1708.42,1720.01,1672.2,1691.46,0,0
Индекс ММВБ,W,20150518,000000,1691.53,1696.49,1631.77,1665.66,0,0
